Year, Month, Temp in Farenheit, Precipitation Inches, Rabbits Population, Foxes Population, Ryegrass Height Inches
2023, 0, 38.57,14.17,  8,  1,  0.00
2023, 1, 51.83,16.48,  6,  1,  1.65
2023, 2, 48.77,15.20,  4,  1,  1.24
2023, 3, 70.54,14.97,  2,  1,  3.76
2023, 4, 75.22,14.74,  2,  1,  3.72
2023, 5, 81.90,12.49,  2,  1,  1.88
2023, 6, 79.59,12.77,  0,  1,  0.31
2023, 7, 82.47, 9.71,  0,  0,  0.41
2023, 8, 69.52, 6.70,  0,  0,  5.15
2023, 9, 56.96, 6.20,  1,  0, 15.08
2023,10, 40.72, 7.72,  2,  0, 14.41
2023,11, 46.77, 9.59,  3,  0, 15.27
2024,12, 38.70,11.55,  4,  0, 12.47
2024,13, 38.03,16.82,  5,  0,  8.62
2024,14, 49.19,15.92,  6,  0,  9.61
2024,15, 71.96,16.31,  7,  0,  8.14
2024,16, 70.06,15.38,  8,  0,  8.27
2024,17, 79.80,13.01,  8,  0,  0.66
2024,18, 88.77,10.13,  7,  0,  0.00
2024,19, 79.57, 9.28,  6,  0,  0.00
2024,20, 70.57, 7.74,  5,  0,  0.00
2024,21, 62.65, 7.27,  4,  0,  6.85
2024,22, 42.91,10.40,  5,  0,  3.80
2024,23, 49.06, 9.24,  4,  0,  3.62
2025,24, 49.67,13.14,  3,  0,  6.44
2025,25, 37.58,13.60,  4,  0,  3.57
2025,26, 58.09,17.42,  3,  0, 16.72
2025,27, 62.15,14.12,  4,  0, 32.81
2025,28, 64.54,14.66,  5,  0, 45.01
2025,29, 70.58,11.99,  6,  0, 46.28
2025,30, 88.73,12.57,  7,  0, 40.29
2025,31, 81.16, 8.24,  8,  0, 33.45
2025,32, 65.97, 7.64,  9,  0, 34.79
2025,33, 60.03, 8.19, 10,  0, 40.06
2025,34, 49.21, 9.30, 11,  1, 35.06
2025,35, 31.47,10.72, 11,  1, 24.07
2026,36, 49.32,14.76, 11,  1, 19.42
2026,37, 50.28,13.97, 11,  1, 16.19
2026,38, 59.59,16.42, 11,  1, 24.02
2026,39, 62.26,16.62, 11,  1, 30.77
2026,40, 67.46,14.59, 11,  1, 31.19
2026,41, 86.92,14.35, 11,  1, 20.21
2026,42, 75.93, 9.88, 11,  1, 10.54
2026,43, 82.01, 8.57,  9,  1,  0.00
2026,44, 68.91, 9.96,  7,  1,  0.00
2026,45, 56.60, 8.77,  5,  1,  6.54
2026,46, 53.03, 8.93,  5,  1, 11.06
2026,47, 49.16,10.56,  5,  1, 11.55
2027,48, 46.98,13.77,  5,  1, 10.21
2027,49, 54.08,14.76,  5,  1, 19.22
2027,50, 49.14,17.66,  5,  1, 19.59
2027,51, 73.58,14.45,  5,  1, 17.75
2027,52, 81.76,15.39,  5,  1, 12.92
2027,53, 77.96,13.51,  5,  1,  8.72
2027,54, 74.94,12.11,  5,  1,  5.79
2027,55, 70.29, 8.96,  4,  1,  6.17
2027,56, 59.70, 6.89,  4,  1, 14.21
2027,57, 50.35, 8.36,  4,  1, 15.95
2027,58, 44.19, 7.85,  4,  1, 13.07
2027,59, 48.82, 9.38,  4,  1, 13.70
2028,60, 33.20,13.02,  4,  1,  9.71
2028,61, 51.07,16.77,  4,  1, 14.05
2028,62, 63.52,16.60,  4,  1, 26.56
2028,63, 62.84,16.86,  4,  1, 39.56
2028,64, 71.52,14.01,  4,  1, 40.87
2028,65, 73.96,13.37,  4,  1, 39.70
2028,66, 74.21, 9.57,  4,  1, 37.89
2028,67, 78.79, 7.67,  4,  1, 34.28
2028,68, 71.05, 6.79,  4,  1, 33.79
2028,69, 59.73, 6.43,  4,  1, 41.07
2028,70, 54.86, 7.38,  4,  1, 46.98
2028,71, 41.11, 9.67,  4,  1, 43.45
